ID,scientific_name
invert,Tritonia
invert,Urticina
invert,Yoldia
invert,Calinaticina oldroydii
invert,Chionoecetes bairdi
invert,Cryptopeltaster lepidonotus
invert,Dorididae
invert,Halocynthia
invert,Isopoda
invert,Lopholithodes
invert,Mya
invert,Pectinidae
invert,Scleractinia
invert,Spirontocaris lamellicornis
fish,Acipenser medirostris
fish,Agonidae
fish,Agonopsis sterletus
fish,Agonopsis vulsa
fish,Alepisaurus ferox
fish,Alepocephalus tenebrosus
fish,Allosmerus elongatus
fish,Alosa sapidissima
fish,Ammodytes hexapterus
fish,Anarrhichthys ocellatus
fish,Anoplopoma fimbria
fish,Apristurus brunneus
fish,Argentina sialis
fish,Argentinidae
fish,Argyropelecus
fish,Arhynchobatidae
fish,Atheresthes stomias
fish,Bathyagonus alascanus
fish,Bathyagonus nigripinnis
fish,Bathyagonus pentacanthus
fish,Bathymaster signatus
fish,Bathyraja
fish,Bathyraja kincaidii
fish,Bathyraja parmifera
fish,Bathyraja spinosissima
fish,Bathyraja trachura
fish,Bothidae
fish,Chaenophryne longiceps
fish,Chauliodus macouni
fish,Chesnonia verrucosa
fish,Chilara taylori
fish,Chitonotus pugetensis
fish,Citharichthys
fish,Citharichthys sordidus
fish,Citharichthys stigmaeus
fish,Clinocottus acuticeps
fish,Clupea pallasii
fish,Cololabis saira
fish,Cottidae
fish,Cryptacanthodes aleutensis
fish,Cryptacanthodes giganteus
fish,Cymatogaster aggregata
fish,Diaphus theta
fish,Embassichthys bathybius
fish,Engraulidae
fish,Engraulis mordax
fish,Enophrys bison
fish,Enophrys taurina
fish,Entosphenus tridentata
fish,Eopsetta jordani
fish,Eptatretus
fish,Eptatretus deani
fish,Eptatretus stoutii
fish,fish unident.
fish,Gadus chalcogrammus
fish,Gadus macrocephalus
fish,Galeorhinus galeus
fish,Glyptocephalus zachirus
fish,Gymnocanthus tricuspis
fish,Hemilepidotus
fish,Hemilepidotus hemilepidotus
fish,Hemilepidotus spinosus
fish,Hexagrammos
fish,Hexagrammos decagrammus
fish,Hexanchus griseus
fish,Hippoglossoides elassodon
fish,Hippoglossus stenolepis
fish,Hydrolagus colliei
fish,Hypomesus pretiosus
fish,Icelinus borealis
fish,Icelinus burchami
fish,Icelinus filamentosus
fish,Icelinus fimbriatus
fish,Icelinus oculatus
fish,Icelinus tenuis
fish,Icichthys lockingtoni
fish,Icosteus aenigmaticus
fish,Idiacanthus antrostomus
fish,Isopsetta isolepis
fish,Jordania zonope
fish,Lampanyctus
fish,Lampanyctus ritteri
fish,Lepidopsetta
fish,Lepidopsetta bilineata
fish,Lepidopsetta polyxystra
fish,Leptocottus armatus
fish,Liparis fucensis
fish,Liparis pulchellus
fish,Lycenchelys crotalinus
fish,Lycodes brevipes
fish,Lycodes cortezianus
fish,Lycodes diapterus
fish,Lycodes pacificus
fish,Lycodes palearis
fish,Lyopsetta exilis
fish,Merluccius productus
fish,Microgadus proximus
fish,Microstomus pacificus
fish,Mola mola
fish,Myctophidae
fish,Myxinidae
fish,Nautichthys oculofasciatus
fish,Odontopyxis trispinosa
fish,Oncorhynchus kisutch
fish,Oncorhynchus tshawytscha
fish,Oneirodidae
fish,Ophidiidae
fish,Ophiodon elongatus
fish,Osmeridae
fish,Osmerus mordax
fish,Paricelinus hopliticus
fish,Parophrys vetulus
fish,Peprilus simillimus
fish,Petromyzontidae
fish,Platichthys stellatus
fish,Plectobranchus evides
fish,Pleuronectiformes
fish,Pleuronichthys decurrens
fish,Pleuronichthys verticalis
fish,Podothecus accipenserinus
fish,Porichthys notatus
fish,Poroclinus rothrocki
fish,Psettichthys melanostictus
fish,Radulinus asprellus
fish,Raja
fish,Raja binoculata
fish,Raja inornata
fish,Raja rhina
fish,Raja stellulata
fish,Rajidae
fish,Rajiformes
fish,Rhacochilus vacca
fish,Rhamphocottus richardsoni
fish,Ronquilus jordani
fish,Sardinops sagax
fish,Scomber japonicus
fish,Scomberesocidae
fish,Scombridae
fish,Scorpaenichthys marmoratus
fish,Scyliorhinidae
fish,Sebastes
fish,Sebastes alutus
fish,Sebastes auriculatus
fish,Sebastes aurora
fish,Sebastes babcocki
fish,Sebastes borealis
fish,Sebastes brevispinis
fish,Sebastes carnatus
fish,Sebastes caurinus
fish,Sebastes chlorostictus
fish,Sebastes crameri
fish,Sebastes diploproa
fish,Sebastes elongatus
fish,Sebastes emphaeus
fish,Sebastes ensifer
fish,Sebastes entomelas
fish,Sebastes eos
fish,Sebastes flavidus
fish,Sebastes goodei
fish,Sebastes helvomaculatus
fish,Sebastes hopkinsi
fish,Sebastes jordani
fish,Sebastes levis
fish,Sebastes maliger
fish,Sebastes melanops
fish,Sebastes melanostomus
fish,Sebastes mystinus
fish,Sebastes nigrocinctus
fish,Sebastes paucispinis
fish,Sebastes pinniger
fish,Sebastes proriger
fish,Sebastes reedi
fish,Sebastes rosaceus
fish,Sebastes ruberrimus
fish,Sebastes rubrivinctus
fish,Sebastes rufus
fish,Sebastes saxicola
fish,Sebastes semicinctus
fish,Sebastes sp. (aleutianus / melanostictus)
fish,Sebastes sp. (miniatus / crocotulus)
fish,Sebastes variegatus
fish,Sebastes wilsoni
fish,Sebastes zacentrus
fish,Sebastolobus alascanus
fish,Sebastolobus altivelis
fish,Selachii sharks
fish,Somniosus pacificus
fish,Spirinchus starksi
fish,Spirinchus thaleichthys
fish,Squalus suckleyi
fish,Stenobrachius leucopsarus
fish,Sternoptychidae
fish,Stomias atriventer
fish,Thaleichthys pacificus
fish,Torpedo californica
fish,Trachipterus altivelis
fish,Trachurus symmetricus
fish,Trichodon trichodon
fish,Triglops macellus
fish,Xeneretmus latifrons
fish,Xeneretmus leiops
fish,Xeneretmus triacanthus
fish,Zaniolepis frenata
fish,Zaniolepis latipinnis
fish,Zaprora silenus
fish,Zoarcidae
