"area_swept"	"year"	"date_yyyymmdd"	"depth_m"	"latitude"	"longitude"	"net_height_m_der"	"net_width_m_der"	"nonspecific_organics_weight_kg"	"o2_at_gear_ml_per_l_der"	"pass"	"performance"	"project"	"salinity_at_gear_psu_der"	"sampling_end_hhmmss"	"sampling_start_hhmmss"	"target_station_design_dim.stn_invalid_for_trawl_date_whid"	"bottom_temp"	"temperature_at_surface_c_der"	"trawl_id"	"turbidity_ntu_der"	"vertebrate_weight_kg"	"vessel"	"vessel_end_latitude_dd"	"vessel_end_longitude_dd"	"vessel_start_latitude_dd"	"vessel_start_longitude_dd"	"date"	"julian"	"year_month"	"NPGO"	"PDO"	"grain_size"	"lithology"
1.821803050999	2004	20040906	131.7826	43.67444444	-124.46	5.2836	13.1227	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	93341	91711	0	8.116	NA	200403008067	NA	107.55	"Excalibur"	43.66828333	-124.46046667	43.68093333	-124.45988333	2004-09-06	248	"200409"	0.37640228	0.75	3.68657755851746	"soft"
1.530573696496	2005	20050531	136.0367	45.83416667	-124.2775	5.6561	12.2648	NA	NA	1	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	181413	175743	0	6.9375	NA	200503010013	NA	235.64	"Ms. Julie"	45.84275	-124.2786	45.8322	-124.27583333	2005-05-31	150	"200505"	-0.78952824	1.86	4.89678335189819	"hard"
1.453993788374	2005	20050606	135.9776	46.3175	-124.46972222	5.6463	12.9553	NA	NA	1	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	132704	131116	0	6.275	NA	200503010038	NA	489.03	"Ms. Julie"	46.32525	-124.47475	46.31661667	-124.46768333	2005-06-06	156	"200506"	-1.2838288	1.17	4.23309135437012	"hard"
1.88239324315	2006	20060831	143.1473	44.60527778	-124.54888889	4.4	14.233	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	192019	190037	0	7.8829	NA	200603018048	NA	435.98	"Raven"	44.61109167	-124.5481	44.5998	-124.55023333	2006-08-31	242	"200608"	-0.36663439	-0.65	2.43917489051819	"hard"
1.44962466628	2014	20140827	61.0693	46.58861111	-124.26888889	5.1453	11.9545	NA	1.307	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	33.7538	110016	104335	0	7.6049	NA	201403008020	NA	169.05	"Excalibur"	46.59328833	-124.27283	46.58394417	-124.2650875	2014-08-27	238	"201408"	-0.54494684	0.67	4.6165919303894	"soft"
4.446661795666	2004	20040707	70.1576	44.56916667	-124.2325	8.15	15.2857	NA	NA	NA	"Satisfactory"	"Groundfish Triennial Shelf Survey"	NA	84957	81839	0	7.5494	NA	200406014181	NA	1470.6	"Morning Star"	44.55886667	-124.22163333	44.57975	-124.24373333	2004-07-07	187	"200407"	0.41156805	0.44	1.78414595127106	"soft"
1.6660850055	2014	20140827	88.6904	46.75972222	-124.4575	4.4995	13.11	NA	1.2958	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	33.784	130150	124457	0	7.5299	NA	201403008021	NA	119.92	"Excalibur"	46.765125	-124.456655	46.7544075	-124.45870167	2014-08-27	238	"201408"	-0.54494684	0.67	5.03711843490601	"hard"
1.593876066114	2014	20140827	79.4491	46.79083333	-124.40472222	5.0545	12.9979	NA	0.9984	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	33.7526	135341	133647	0	7.5545	NA	201403008022	NA	207.37	"Excalibur"	46.79698083	-124.39928	46.78771833	-124.40638667	2014-08-27	238	"201408"	-0.54494684	0.67	5.038658618927	"hard"
3.823785186312	2004	20040711	89.4097	47.73972222	-124.81583333	5.4054	13.1794	NA	NA	NA	"Satisfactory"	"Groundfish Triennial Shelf Survey"	NA	145055	141955	0	NA	NA	200406016154	NA	642.97	"Vesteraalen"	47.72763333	-124.80906667	47.75204167	-124.82276667	2004-07-11	191	"200407"	0.41156805	0.44	3.57556629180908	"hard"
1.95994720935	2003	20030901	172.6837	47.01416667	-124.98277778	4.5778	14.9706	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	160536	154538	0	7.1209	NA	200303003005	NA	1991.3	"Blue Horizon"	47.0191	-124.98704167	47.009675	-124.97894167	2003-09-01	243	"200309"	0.8692253	0.01	4.15586519241333	"soft"
2.067499652862	2003	20030902	137.403	47.64055556	-124.94277778	4.1905	14.7903	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	183814	181930	0	7.1642	NA	200303003010	NA	514.3	"Blue Horizon"	47.6452	-124.94791667	47.636175	-124.938075	2003-09-02	244	"200309"	0.8692253	0.01	4.81655025482178	"soft"
1.867948140393	2003	20030903	98.7985	47.72861111	-124.85333333	4.4303	14.1957	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	52939	51231	0	7.0815	NA	200303003011	NA	212.13	"Blue Horizon"	47.73326667	-124.85823333	47.7243	-124.84896667	2003-09-03	245	"200309"	0.8692253	0.01	3.94752550125122	"hard"
2.094504506396	2003	20030903	123.9861	47.84111111	-125.01333333	4.2819	14.5609	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	81635	75824	0	7.0883	NA	200303003012	NA	1571.71	"Blue Horizon"	47.84571667	-125.01925	47.83675	-125.00741667	2003-09-03	245	"200309"	0.8692253	0.01	5.31878757476807	"soft"
2.15644788765	2003	20030903	174.2101	47.83888889	-125.10555556	4.2261	14.805	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	115148	113358	0	6.8857	NA	200303003013	NA	1432.33	"Blue Horizon"	47.84161667	-125.113375	47.83629167	-125.09801667	2003-09-03	245	"200309"	0.8692253	0.01	5.8118896484375	"soft"
1.912879983186	2003	20030906	99.1679	47.99777778	-124.9575	4.7162	14.0958	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	172602	170856	0	7.2024	NA	200303003027	NA	80.27	"Blue Horizon"	47.99108333	-124.94896667	47.99995833	-124.95866667	2003-09-06	248	"200309"	0.8692253	0.01	4.85834074020386	"hard"
2.2816878768	2003	20030908	182.9549	47.2925	-124.76416667	3.613	13.7903	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	120554	114812	0	7.225	NA	200303003034	NA	521.64	"Blue Horizon"	47.28861667	-124.7782	47.29191667	-124.76168333	2003-09-08	250	"200309"	0.8692253	0.01	4.36140441894531	"hard"
2.06402212161	2003	20030908	106.4511	47.02916667	-124.68416667	4.6156	14.2839	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	163513	161737	0	7.3569	NA	200303003035	NA	674	"Blue Horizon"	47.037225	-124.691975	47.027575	-124.68185	2003-09-08	250	"200309"	0.8692253	0.01	4.21594381332397	"soft"
1.925784210633	2003	20030912	53.4226	46.5275	-124.25027778	5.4157	12.8897	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	52716	50810	9498	7.6177	NA	200303003036	NA	647.556	"Blue Horizon"	46.53435	-124.25725	46.52423333	-124.2465	2003-09-12	254	"200309"	0.8692253	0.01	4.05512619018555	"soft"
2.151911541095	2003	20030913	142.2581	45.95111111	-124.36527778	4.4194	15.0065	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	144858	143058	0	7.4994	NA	200303003042	NA	703.005	"Blue Horizon"	45.95813333	-124.3758	45.9497	-124.36526667	2003-09-13	255	"200309"	0.8692253	0.01	6.07458925247192	"hard"
2.5656411683	2003	20030913	173.8265	45.79111111	-124.525	3.9652	15.029	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	175925	174049	0	7.4995	NA	200303003043	NA	270.304	"Blue Horizon"	45.79863333	-124.5349	45.79115	-124.5217	2003-09-13	255	"200309"	0.8692253	0.01	4.40402746200562	"mixed"
2.06849448546	2003	20030914	143.9795	45.72277778	-124.30472222	4.2495	14.8655	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	52845	51057	0	7.5839	NA	200303003044	NA	314.352	"Blue Horizon"	45.72755	-124.30998333	45.71813333	-124.29978333	2003-09-14	256	"200309"	0.8692253	0.01	4.56259393692017	"hard"
2.384708664448	2003	20030914	164.1932	45.09472222	-124.25972222	4.0807	15.0656	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	175803	173749	0	7.4891	NA	200303003048	NA	392.302	"Blue Horizon"	45.10059167	-124.26465833	45.08935833	-124.255075	2003-09-14	256	"200309"	0.8692253	0.01	3.89545011520386	"soft"
1.864798446456	2003	20030916	103.4122	44.69694444	-124.42055556	4.8968	13.2462	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	83415	81651	0	7.8945	NA	200303003055	NA	353.35	"Blue Horizon"	44.70455833	-124.41274167	44.69505	-124.42228333	2003-09-16	258	"200309"	0.8692253	0.01	2.62259531021118	"soft"
1.902455801685	2003	20030916	72.5937	44.51083333	-124.24638889	5.0014	13.2345	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	125441	123635	0	7.8696	NA	200303003056	NA	331.61	"Blue Horizon"	44.5179	-124.25408333	44.50768333	-124.24495	2003-09-16	258	"200309"	0.8692253	0.01	1.8648669719696	"hard"
1.949781497976	2003	20030916	75.5689	44.33277778	-124.30833333	4.9522	13.2444	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	155234	153435	0	8.0278	NA	200303003057	NA	277.507	"Blue Horizon"	44.33995	-124.31606667	44.32951667	-124.30681667	2003-09-16	258	"200309"	0.8692253	0.01	1.82379758358002	"soft"
2.064077216357	2003	20030916	98.7353	43.93722222	-124.28833333	4.5385	14.4833	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	192943	191155	0	7.9643	NA	200303003058	NA	427.55	"Blue Horizon"	43.94391667	-124.2969	43.935025	-124.28715833	2003-09-16	258	"200309"	0.8692253	0.01	3.12747144699097	"soft"
2.067811830208	2003	20030924	198.5863	43.27361111	-124.70361111	4.9186	14.1938	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	53141	51253	0	7.7496	NA	200303003064	NA	638.95	"Blue Horizon"	43.28466667	-124.70368333	43.2735	-124.70276667	2003-09-24	266	"200309"	0.8692253	0.01	4.41807413101196	"soft"
1.910855247726	2003	20030924	143.8737	42.94194444	-124.84166667	5.1637	13.5613	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	132326	130514	0	7.672	NA	200303003066	NA	10045.9	"Blue Horizon"	42.94148333	-124.84955	42.942625	-124.83426667	2003-09-24	266	"200309"	0.8692253	0.01	4.13916635513306	"soft"
2.2221426187	2003	20030925	149.8785	42.70138889	-124.67944444	4.7469	14.395	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	124538	122438	0	8.1808	NA	200303003069	NA	436.8	"Blue Horizon"	42.70648333	-124.68488333	42.69655	-124.67445	2003-09-25	267	"200309"	0.8692253	0.01	4.1618447303772	"soft"
2.089496846604	2003	20030927	171.4505	42.35888889	-124.67194444	4.699	14.4636	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	133448	131536	0	8.3952	NA	200303003072	NA	532.25	"Blue Horizon"	42.35056667	-124.6643	42.35893333	-124.67251667	2003-09-27	269	"200309"	0.8692253	0.01	4.58503675460815	"soft"
1.475490569752	2003	20030928	62.6986	41.69027778	-124.29416667	5.1678	13.4767	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	134847	133129	0	8.6217	NA	200303003076	NA	64.78	"Blue Horizon"	41.69728333	-124.29485	41.68558333	-124.2941	2003-09-28	270	"200309"	0.8692253	0.01	5.43006372451782	"hard"
2.219116022567	2003	20030928	153.5479	41.52388889	-124.46722222	4.7124	14.2531	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	162654	160824	0	8.3859	NA	200303003077	NA	1370.55	"Blue Horizon"	41.53506667	-124.4659	41.5225	-124.46663333	2003-09-28	270	"200309"	0.8692253	0.01	4.86341333389282	"soft"
1.9816412	2003	20030929	80.2624	41.36472222	-124.26555556	4.8367	13.75	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	131350	125344	0	8.7422	NA	200303003081	NA	211.57	"Blue Horizon"	41.35913333	-124.26396667	41.37065	-124.26726667	2003-09-29	271	"200309"	0.8692253	0.01	5.39978361129761	"hard"
2.23201899828	2003	20030929	180.8479	41.27111111	-124.39944444	4.7671	14.172	NA	NA	2	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	161847	160017	0	8.1719	NA	200303003082	NA	2095.53	"Blue Horizon"	41.27611667	-124.40373333	41.26634167	-124.39523333	2003-09-29	271	"200309"	0.8692253	0.01	6.53967523574829	"soft"
1.78425880862	2003	20030625	106.0853	47.60194444	-124.81555556	5.1377	13.087	NA	NA	1	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	61515	55703	0	6.9012	NA	200303006004	NA	573.35	"Captain Jack"	47.59600833	-124.82464167	47.6051	-124.81348333	2003-06-25	175	"200306"	0.77769152	0.68	3.81726932525635	"soft"
1.964621632134	2003	20030629	96.6484	47.90611111	-124.91472222	5.2194	13.3462	NA	NA	1	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	183808	181832	0	6.5591	NA	200303006025	NA	471.25	"Captain Jack"	47.89778333	-124.91676667	47.909325	-124.91523333	2003-06-29	179	"200306"	0.77769152	0.68	4.67350244522095	"hard"
1.9548610375	2003	20030630	107.9153	47.77555556	-124.91	4.7872	14.35	NA	NA	1	"Satisfactory"	"Groundfish Slope and Shelf Combination Survey"	NA	61315	55456	0	6.7764	NA	200303006026	NA	368.35	"Captain Jack"	47.76805	-124.9147	47.77831667	-124.90955	2003-06-30	180	"200306"	0.77769152	0.68	4.49850273132324	"hard"
